error,pos,correction,error phrase,correct phrase,num of this error-correction phrase occur,num of this error-correction pair occur,collocation,category of collocation,total num of error time this error-correction pairs fall into this collocation category,unique num of error-correction pairs fall into this collocation category,total num of error occur,error_collocation,correction_collocation
make,VERB,have,make mode,have mode,1,536,mode,Arts and Crafts,2,2,4016,0,8
make,VERB,have,make science,have science,1,536,science,Science and Technology,2,2,4016,0,7
make,VERB,have,make technology,have technology,1,536,technology,Science and Technology,2,2,4016,34,133
make,VERB,have,make design,have design,1,536,design,"Rightness, Fairness, Purpose, Use, & Strength",12,7,4016,24,100
make,VERB,have,make energy,have energy,1,536,energy,"Rightness, Fairness, Purpose, Use, & Strength",12,7,4016,1,140
make,VERB,have,make license,have license,1,536,license,Law and Order Generally,3,3,4016,0,181
make,VERB,have,make property,have property,1,536,property,"Belonging and Owning, Getting and Giving",4,3,4016,19,123
make,VERB,have,make amount,have amount,1,536,amount,"Size, Importance, and Availability",2,2,4016,50,298
make,VERB,have,make deficit,have deficit,1,536,deficit,"Banking, Wealth, and Investment",2,2,4016,22,171
make,VERB,have,make other,have other,1,536,other,"Resemblance, Difference, and Change",3,2,4016,3,48
make,VERB,have,make death,have death,1,536,death,Life and Living Things,13,3,4016,18,57
make,VERB,have,make star,have star,1,536,star,"Drama, the Theatre, and Show Business",3,2,4016,0,40
make,VERB,have,make labor,have labor,1,536,labor,Politics and Election,3,2,4016,9,12
make,VERB,have,make courage,have courage,1,536,courage,Fear and Courage,2,2,4016,0,206
make,VERB,have,make cake,have cake,1,536,cake,Food,2,2,4016,36,40
make,VERB,have,make one,have one,1,536,one,Numbers and Quantities,2,2,4016,0,0
make,VERB,have,make shape,have shape,1,536,shape,Making things,3,3,4016,0,34
make,VERB,have,make smile,have smile,1,536,smile,Action of the Face related to Feelings,1,1,4016,5,54
make,VERB,do,make cooking,do cooking,10,1073,cooking,misc-ap-0,140,74,4016,3,39
make,VERB,do,make lesson,do lesson,5,1073,lesson,misc-ap-0,140,74,4016,0,10
make,VERB,do,make internship,do internship,1,1073,internship,misc-ap-0,140,74,4016,0,2
make,VERB,do,make american,do american,1,1073,american,misc-ap-0,140,74,4016,57,61
make,VERB,do,make packing,do packing,1,1073,packing,misc-ap-0,140,74,4016,0,0
make,VERB,do,make holiday,do holiday,1,1073,holiday,misc-ap-0,140,74,4016,0,0
make,VERB,do,make t,do t,1,1073,t,misc-ap-0,140,74,4016,0,0
make,VERB,do,make pose,do pose,1,1073,pose,misc-ap-0,140,74,4016,0,0
make,VERB,do,make cloning,do cloning,1,1073,cloning,misc-ap-0,140,74,4016,0,0
make,VERB,do,make apprenticeship,do apprenticeship,1,1073,apprenticeship,misc-ap-0,140,74,4016,0,0
make,VERB,do,make dubbing,do dubbing,1,1073,dubbing,misc-ap-0,140,74,4016,0,0
make,VERB,do,make webpage,do webpage,1,1073,webpage,misc-ap-0,140,74,4016,0,0
make,VERB,do,make hurdle,do hurdle,1,1073,hurdle,misc-ap-0,140,74,4016,0,0
make,VERB,do,make survey,do survey,2,1073,survey,misc-ap-0,140,74,4016,0,133
make,VERB,do,make doctor,do doctor,1,1073,doctor,misc-ap-0,140,74,4016,1,11
make,VERB,do,make haircut,do haircut,5,1073,haircut,misc-ap-0,140,74,4016,0,0
make,VERB,do,make procedure,do procedure,2,1073,procedure,misc-ap-0,140,74,4016,0,0
make,VERB,do,make poetry,do poetry,1,1073,poetry,misc-ap-0,140,74,4016,0,0
make,VERB,do,make -,do -,1,1073,-,misc-ap-0,140,74,4016,0,0
make,VERB,do,make e,do e,1,1073,e,misc-ap-0,140,74,4016,0,0
make,VERB,do,make tutorial,do tutorial,1,1073,tutorial,misc-ap-0,140,74,4016,0,0
make,VERB,do,make coding,do coding,1,1073,coding,misc-ap-0,140,74,4016,0,0
make,VERB,do,make sequence,do sequence,1,1073,sequence,misc-ap-0,140,74,4016,0,0
make,VERB,do,make entertainer,do entertainer,1,1073,entertainer,misc-ap-0,140,74,4016,0,0
make,VERB,do,make photoshop,do photoshop,1,1073,photoshop,misc-ap-0,140,74,4016,0,0
make,VERB,do,make touring,do touring,1,1073,touring,misc-ap-0,140,74,4016,0,0
make,VERB,do,make cross,do cross,1,1073,cross,misc-ap-0,140,74,4016,0,0
make,VERB,do,make photoshoot,do photoshoot,1,1073,photoshoot,misc-ap-0,140,74,4016,0,0
make,VERB,do,make washing,do washing,4,1073,washing,misc-ap-0,140,74,4016,0,4
make,VERB,do,make perm,do perm,1,1073,perm,misc-ap-0,140,74,4016,0,0
