error,pos,correction,error phrase,correct phrase,num of this error-correction phrase occur,num of this error-correction pair occur,collocation,category of collocation,total num of error time this error-correction pairs fall into this collocation category,unique num of error-correction pairs fall into this collocation category,total num of error occur,error_collocation,correction_collocation,error collocation,correction collocation
person,NOUN,people,person unemployed,people unemployed,2,1827,unemployed,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person laz,people laz,1,1827,laz,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person taiwanese,people taiwanese,1,1827,taiwanese,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person german,people german,1,1827,german,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person retired,people retired,1,1827,retired,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person awesome,people awesome,1,1827,awesome,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person introverted,people introverted,2,1827,introverted,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person english,people english,1,1827,english,misc-ap-0,170,68,1888,0,1,0,1
person,NOUN,people,person grown,people grown,1,1827,grown,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person lonely,people lonely,1,1827,lonely,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person vietnamese,people vietnamese,1,1827,vietnamese,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person hardworking,people hardworking,2,1827,hardworking,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person deafblind,people deafblind,1,1827,deafblind,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person compassionate,people compassionate,2,1827,compassionate,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person druggy,people druggy,1,1827,druggy,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person unwatched,people unwatched,1,1827,unwatched,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person homogeneous,people homogeneous,1,1827,homogeneous,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person tasking,people tasking,1,1827,tasking,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person multi,people multi,1,1827,multi,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person impolite,people impolite,3,1827,impolite,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person british,people british,1,1827,british,misc-ap-0,170,68,1888,0,5,0,5
person,NOUN,people,person infected,people infected,1,1827,infected,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person european,people european,1,1827,european,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person australian,people australian,1,1827,australian,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person generic,people generic,1,1827,generic,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person asian,people asian,1,1827,asian,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person erudite,people erudite,1,1827,erudite,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person proudest,people proudest,1,1827,proudest,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person untrained,people untrained,1,1827,untrained,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person respected,people respected,2,1827,respected,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person hearted,people hearted,5,1827,hearted,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person minded,people minded,3,1827,minded,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person non,people non,6,1827,non,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person -,people -,8,1827,-,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person disabled,people disabled,5,1827,disabled,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person unlettered,people unlettered,1,1827,unlettered,misc-ap-0,170,68,1888,0,0,0,0
person,NOUN,people,person blooded,people blooded,1,1827,blooded,misc-ap-0,170,68,1888,0,0,0,0
get,VERB,have,get weibo,have weibo,2,941,weibo,misc-ap-0,94,61,3029,0,0,0,0
get,VERB,have,get charger,have charger,1,941,charger,misc-ap-0,94,61,3029,0,0,0,0
get,VERB,have,get trauma,have trauma,1,941,trauma,misc-ap-0,94,61,3029,0,0,0,0
get,VERB,have,get mystat,have mystat,1,941,mystat,misc-ap-0,94,61,3029,0,0,0,0
get,VERB,have,get hangover,have hangover,1,941,hangover,misc-ap-0,94,61,3029,0,12,0,12
get,VERB,have,get converter,have converter,1,941,converter,misc-ap-0,94,61,3029,0,0,0,0
get,VERB,have,get datum,have datum,1,941,datum,misc-ap-0,94,61,3029,0,0,0,0
get,VERB,have,get -,have -,1,941,-,misc-ap-0,94,61,3029,0,0,0,0
get,VERB,have,get ceremony,have ceremony,1,941,ceremony,misc-ap-0,94,61,3029,0,19,0,19
